"","Economic","Environment","wantPossible","unityDifferences","lawsPeople","ownAll","pCongress","pBusiness","tCongress","tBusiness","Change","LGBT","mLeft","mRight"
"1",15.1375113288276,11.3875113288276,91,87,90,92,4.89865251489588,77.9930462708344,20.2702741365175,58.060613838402,43.0648633558973,4,1,6
"2",3.73191248860865,0.864528976063855,81,52,68,25,66.358646953405,36.1391129032258,45.2116935483871,43.6659946236559,98.8351254480286,5,1,1
"3",27.6500674460432,27.6500674460432,26,77,0,0,1.00009412650602,46.886765813253,4.31334713855422,56.8265248493976,14.8226731115108,3,5,5
"4",76.2044739208633,11.8294739208633,99,79,100,0,66.2162162162162,64.9625211148649,18.9189189189189,34.0503589527027,47.744210881295,2,1,4
"5",NA,NA,75,28,22,69,62.9763455617996,42.5795055571057,49.8744272050403,39.7671631404332,NA,5,5,7
"7",2.01607464028776,0.766074640287773,100,100,0,0,24.1554054054054,89.7936021959459,22.1283783783784,77.6314400337838,97.1023493705036,3,5,5
"8",8.64602068345323,88.0210206834532,100,0,0,100,NA,NA,NA,NA,51.3076101618705,5,5,7
"9",91.5819320082664,8.41806799173355,100,100,0,0,62.5880294803867,24.6606083720216,36.3997332862181,70.145549046846,48.8852739531552,3,2,8
"10",1.83715436098386,0.587154360983871,NA,0,100,NA,9.45946332570669,15.8308737986797,7.09459846084182,9.74979271759858,NA,3,7,7
"11",96.2027877697842,3.07778776978418,80,16,90,92,88.1756756756757,91.1449535472973,21.9594594594595,17.1584670608108,2.78243030575539,1,2,2
"12",45.777315647482,47.652315647482,82,52,37,15,60.1351351351351,33.2057643581081,28.3783783783784,53.8138724662162,83.978473471223,3,3,5
"13",5.93685920689003,2.76197280785022,90,100,100,100,NA,NA,NA,NA,100,5,8,8
"14",97.8125,2.1875,98,2,84,12,61.4223678601876,76.3200660699062,47.4411231884058,62.3388213981245,50,4,3,3
"15",12.3038444244604,21.0538444244604,91,71,100,12,23.1418918918919,77.8003589527027,14.527027027027,59.2192778716216,49.4067558453237,3,4,5
"16",5.82467626205347,81.4026149696224,97,100,100,0,NA,NA,NA,NA,48.6846125778655,4,4,7
"17",5.1467215096421,85.7525822759947,98,6,97,99,82.6355985957992,7.10162993094558,18.1924998009774,56.0000282483699,48.5080402031863,3,4,5
"18",1.57992356115108,4.07992356115107,100,100,100,0,69.7635135135135,38.7800886824324,29.5608108108108,51.1111697635135,50.7107126798561,2,7,7
"19",12.1352293165468,11.5102293165468,67,74,86,91,32.9391891891892,62.59765625,21.1148648648649,32.6990076013513,52.0337792266187,3,5,7
"20",4.89830817552808,3.64287461611038,91,79,3,7,82.4302073723787,64.281819961656,49.3228775110943,57.1873921342379,51.2654588973798,3,2,4
"21",73.4863736158755,10.2978773793288,88,16,12,82,NA,NA,NA,NA,51.8697735761415,3,4,4
"22",19.6381824788283,15.8503036909496,100,55,99,8,88.6970288825758,96.5272845643939,13.034150094697,13.7621330492424,97.2537878787879,5,3,3
"23",5.81103866906475,9.56103866906475,23,82,90,21,62.3310810810811,68.6787373310811,46.6216216216216,54.4895481418919,12.0686263489209,2,3,4
"24",31.5124775179856,30.2624775179856,52,65,59,41,19.9324324324324,52.6314400337838,18.75,57.6990076013513,4.40113534172662,4,1,7
"25",6.88211907585749,8.13211907585748,64,69,74,20,66.2979307320405,49.070638711667,22.8344332787298,33.7905028882375,48.7100971688469,5,5,7
"26",NA,NA,0,0,1,99,66.8918918918919,20.7057643581081,57.4324324324324,18.3408994932432,82.7992918165467,5,1,7
"27",47.7624775179856,14.0124775179856,97,57,23,6,70.777027027027,46.7192778716216,33.445945945946,39.4557643581081,91.5346785071943,2,5,8
